Freq.	V(n003)/-I(V1)
1.99999999999999e+02	4.13013146191370e+00,1.37329925942256e+00
2.04658598456150e+02	4.13110963367450e+00,1.30961981628032e+00
2.09425709610179e+02	4.13202442926330e+00,1.24663349317317e+00
2.14303861047521e+02	4.13287778675769e+00,1.18430699089731e+00
2.19295639228636e+02	4.13367151378736e+00,1.12260735980949e+00
2.24403690860392e+02	4.13440729388237e+00,1.06150194155037e+00
2.29630724299376e+02	4.13508668459401e+00,1.00095844080034e+00
2.34979510987905e+02	4.13571112523040e+00,9.40944835745930e-01
2.40452886923482e+02	4.13628194035102e+00,8.81429354849317e-01
2.46053754162475e+02	4.13680033807906e+00,8.22380532059689e-01
2.51785082358833e+02	4.13726741847525e+00,7.63767097697266e-01
2.57649910338626e+02	4.13768417065063e+00,7.05558044885954e-01
2.63651347711280e+02	4.13805147731734e+00,6.47722574143604e-01
2.69792576518330e+02	4.13837011608936e+00,5.90230086068760e-01
2.76076852920576e+02	4.13864076378839e+00,5.33050125019509e-01
2.82507508924550e+02	4.13886399340631e+00,4.76152431583230e-01
2.89087954149184e+02	4.13904027801579e+00,4.19506885352180e-01
2.95821677633640e+02	4.13916998968119e+00,3.63083520081479e-01
3.02712249687241e+02	4.13925340478760e+00,3.06852441303710e-01
3.09763323782495e+02	4.13929069929291e+00,2.50783889161467e-01
3.16978638492221e+02	4.13928195247695e+00,1.94848173365232e-01
3.24362019471785e+02	4.13922714552808e+00,1.39015680556912e-01
3.31917381487511e+02	4.13912616027360e+00,8.32568751918811e-02
3.39648730492348e+02	4.13897878347106e+00,2.75422211331235e-02
3.47560165749874e+02	4.13878470356046e+00,-2.81577939773876e-02
3.55655882007783e+02	4.13854350838974e+00,-8.38726529291674e-02
3.63940171721995e+02	4.13825468542760e+00,-1.39631839920394e-01
3.72417427332572e+02	4.13791762188596e+00,-1.95464871871744e-01
3.81092143592648e+02	4.13753160669383e+00,-2.51401354325355e-01
3.89968919951608e+02	4.13709581493695e+00,-3.07470819217901e-01
3.99052462993774e+02	4.13660932661919e+00,-3.63702999773823e-01
4.08347588933904e+02	4.13607111025855e+00,-4.20127662725329e-01
4.17859226170806e+02	4.13548002285208e+00,-4.76774653108128e-01
4.27592417900445e+02	4.13483481035867e+00,-5.33673945297182e-01
4.37552324789909e+02	4.13413410877894e+00,-5.90855700240791e-01
4.47744227713666e+02	4.13337642861326e+00,-6.48350134755121e-01
4.58173530553553e+02	4.13256016195956e+00,-7.06187657785313e-01
4.68845763063982e+02	4.13168358427993e+00,-7.64398939926049e-01
4.79766583803896e+02	4.13074483136474e+00,-8.23014716041847e-01
4.90941783137004e+02	4.12974191567818e+00,-8.82066024472415e-01
5.02377286301914e+02	4.12867270800756e+00,-9.41584070043108e-01
5.14079156553771e+02	4.12753494248486e+00,-1.00160034155631e+00
5.26053598379074e+02	4.12632621253996e+00,-1.06214663192701e+00
5.38306960785381e+02	4.12504394657911e+00,-1.12325486392890e+00
5.50845740667631e+02	4.12368543327734e+00,-1.18495741262522e+00
5.63676586252888e+02	4.12224778905608e+00,-1.24728685731248e+00
5.76806300625318e+02	4.12072796430254e+00,-1.31027612081270e+00
5.90241845333274e+02	4.11912274386711e+00,-1.37395854731559e+00
6.03990344080400e+02	4.11742872175270e+00,-1.43836774900971e+00
6.18059086502715e+02	4.11564230391496e+00,-1.50353771837742e+00
6.32455532033673e+02	4.11375970458825e+00,-1.56950287867776e+00
6.47187313859254e+02	4.11177693957474e+00,-1.63629810885374e+00
6.62262242965179e+02	4.10968980116735e+00,-1.70395862157796e+00
6.77688312278402e+02	4.10749386073157e+00,-1.77252008199478e+00
6.93473700905060e+02	4.10518447357615e+00,-1.84201873666262e+00
7.09626778467148e+02	4.10275673731382e+00,-1.91249117708249e+00
7.26156109540199e+02	4.10020551484733e+00,-1.98397462181101e+00
7.43070458194342e+02	4.09752539473124e+00,-2.05650671163385e+00
7.60378792641119e+02	4.09471069403586e+00,-2.13012564112181e+00
7.78090289988557e+02	4.09175546033748e+00,-2.20487027499821e+00
7.96214341106991e+02	4.08865341992279e+00,-2.28077988603823e+00
8.14760555608221e+02	4.08539800941061e+00,-2.35789449458402e+00
8.33738766940667e+02	4.08198231670586e+00,-2.43625457486789e+00
8.53159037603181e+02	4.07839912506511e+00,-2.51590147096109e+00
8.73031664480328e+02	4.07464081810762e+00,-2.59687688877835e+00
8.93367184301922e+02	4.07069946410441e+00,-2.67922356839567e+00
9.14176379229745e+02	4.06656668839117e+00,-2.76298459659037e+00
9.35470282574391e+02	4.06223375954377e+00,-2.84820407983765e+00
9.57260184645272e+02	4.05769147500771e+00,-2.93492657801094e+00
9.79557638736887e+02	4.05293025312278e+00,-3.02319778811878e+00
1.00237446725454e+03	4.04793997239252e+00,-3.11306374681431e+00
1.02572276798272e+03	4.04271006951801e+00,-3.20457154716804e+00
1.04961492049954e+03	4.03722950107874e+00,-3.29776924950832e+00
1.07406359274050e+03	4.03148663955781e+00,-3.39270546977056e+00
1.09908174771524e+03	4.02546932636623e+00,-3.48942982717867e+00
1.12468265038069e+03	4.01916482061013e+00,-3.58799282626276e+00
1.15087987467431e+03	4.01255979532388e+00,-3.68844599315680e+00
1.17768731071117e+03	4.00564027718095e+00,-3.79084173480431e+00
1.20511917214871e+03	3.99839161395846e+00,-3.89523335445064e+00
1.23319000372296e+03	3.99079844256123e+00,-4.00167507776704e+00
1.26191468896038e+03	3.98284472276169e+00,-4.11022237742354e+00
1.29130845806930e+03	3.97451361961679e+00,-4.22093160821932e+00
1.32138689601518e+03	3.96578752750289e+00,-4.33386030009759e+00
1.35216595078396e+03	3.95664797482468e+00,-4.44906692865584e+00
1.38366194183787e+03	3.94707563294475e+00,-4.56661114844129e+00
1.41589156876827e+03	3.93705029478742e+00,-4.68655388630254e+00
1.44887192014997e+03	3.92655071850575e+00,-4.80895691035320e+00
1.48262048260183e+03	3.91555475209870e+00,-4.93388352961748e+00
1.51715515005836e+03	3.90403912316816e+00,-5.06139797486503e+00
1.55249423325737e+03	3.89197953517767e+00,-5.19156597888964e+00
1.58865646944855e+03	3.87935046254718e+00,-5.32445422893022e+00
1.62566103232819e+03	3.86612528195433e+00,-5.46013106209590e+00
1.66352754220533e+03	3.85227604262178e+00,-5.59866586409154e+00
1.70227607640474e+03	3.83777350558612e+00,-5.74012944428606e+00
1.74192717991215e+03	3.82258707343018e+00,-5.88459402115489e+00
1.78250187626748e+03	3.80668468293075e+00,-6.03213310483229e+00
1.82402167871181e+03	3.79003278683566e+00,-6.18282168087870e+00
1.86650860159397e+03	3.77259623275080e+00,-6.33673607369313e+00
1.90998517204286e+03	3.75433829859243e+00,-6.49395429827021e+00
1.95447444191161e+03	3.73522042764026e+00,-6.65455551901103e+00
1.99999999999999e+03	3.71520241396033e+00,-6.81862084962572e+00
2.04658598456150e+03	3.69424198052837e+00,-6.98623240422763e+00
2.09425709610179e+03	3.67229512861285e+00,-7.15747453891661e+00
2.14303861047520e+03	3.64931545383402e+00,-7.33243225670091e+00
2.19295639228636e+03	3.62525475745543e+00,-7.51119312229031e+00
2.24403690860391e+03	3.60006232489048e+00,-7.69384563377196e+00
2.29630724299375e+03	3.57368518736936e+00,-7.88048020051289e+00
2.34979510987904e+03	3.54606781482469e+00,-8.07118866171093e+00
2.40452886923481e+03	3.51715233039710e+00,-8.26606508074238e+00
2.46053754162475e+03	3.48687793220148e+00,-8.46520466451984e+00
2.51785082358832e+03	3.45518095399075e+00,-8.66870424210182e+00
2.57649910338625e+03	3.42199497391303e+00,-8.87666279245475e+00
2.63651347711280e+03	3.38725037302696e+00,-9.08918076420866e+00
2.69792576518329e+03	3.35087426253996e+00,-9.30636024975545e+00
2.76076852920575e+03	3.31279046973206e+00,-9.52830526274290e+00
2.82507508924549e+03	3.27291923319818e+00,-9.75512142590643e+00
2.89087954149184e+03	3.23117707755488e+00,-9.98691605075528e+00
2.95821677633639e+03	3.18747670048738e+00,-1.02237982386959e+01
3.02712249687240e+03	3.14172685158336e+00,-1.04658789616221e+01
3.09763323782494e+03	3.09383180963186e+00,-1.07132704404712e+01
3.16978638492220e+03	3.04369177264305e+00,-1.09660871698514e+01
3.24362019471784e+03	2.99120211040803e+00,-1.12244449211680e+01
3.31917381487510e+03	2.93625332691842e+00,-1.14884610399223e+01
3.39648730492346e+03	2.87873122597015e+00,-1.17582550236265e+01
3.47560165749873e+03	2.81851613437199e+00,-1.20339475788431e+01
3.55655882007782e+03	2.75548254664547e+00,-1.23156604487247e+01
3.63940171721994e+03	2.68950008279481e+00,-1.26035181672601e+01
3.72417427332571e+03	2.62043150957353e+00,-1.28976454171001e+01
3.81092143592647e+03	2.54813380556700e+00,-1.31981689522641e+01
3.89968919951606e+03	2.47245734824175e+00,-1.35052167263772e+01
3.99052462993773e+03	2.39324583845820e+00,-1.38189181016475e+01
4.08347588933903e+03	2.31033550043722e+00,-1.41394031077843e+01
4.17859226170805e+03	2.22355559083375e+00,-1.44668034084591e+01
4.27592417900443e+03	2.13272701991095e+00,-1.48012508620476e+01
4.37552324789907e+03	2.03766334214568e+00,-1.51428790296716e+01
4.47744227713665e+03	1.93816925311845e+00,-1.54918216297845e+01
4.58173530553551e+03	1.83404064986769e+00,-1.58482129217892e+01
4.68845763063981e+03	1.72506445851516e+00,-1.62121877590932e+01
4.79766583803895e+03	1.61101820281760e+00,-1.65838813381055e+01
4.90941783137002e+03	1.49166861161317e+00,-1.69634280052277e+01
5.02377286301912e+03	1.36677351984790e+00,-1.73509633941047e+01
5.14079156553769e+03	1.23607846009176e+00,-1.77466212116862e+01
5.26053598379072e+03	1.09931879610581e+00,-1.81505355284788e+01
5.38306960785379e+03	9.56217545274828e-01,-1.85628388565340e+01
5.50845740667629e+03	8.06486016506738e-01,-1.89836628817251e+01
5.63676586252886e+03	6.49822134953635e-01,-1.94131371149927e+01
5.76806300625317e+03	4.85911826624214e-01,-1.98513901238967e+01
5.90241845333273e+03	3.14426049397899e-01,-2.02985471438335e+01
6.03990344080398e+03	1.35022207869823e-01,-2.07547312651140e+01
6.18059086502713e+03	-5.26565495877609e-02,-2.12200627928247e+01
6.32455532033671e+03	-2.48984218408166e-01,-2.16946571340993e+01
6.47187313859251e+03	-4.54348978582716e-01,-2.21786268173103e+01
6.62262242965177e+03	-6.69156376037695e-01,-2.26720790974009e+01
6.77688312278400e+03	-8.93828104901843e-01,-2.31751165607755e+01
6.93473700905058e+03	-1.12880626268465e+00,-2.36878342731986e+01
7.09626778467145e+03	-1.37454787787461e+00,-2.42103227732805e+01
7.26156109540197e+03	-1.63153174422169e+00,-2.47426636528323e+01
7.43070458194339e+03	-1.90025513640556e+00,-2.52849310684439e+01
7.60378792641116e+03	-2.18123674920965e+00,-2.58371896522836e+01
7.78090289988555e+03	-2.47501477678400e+00,-2.63994949018609e+01
7.96214341106988e+03	-2.78215024726068e+00,-2.69718908711239e+01
8.14760555608219e+03	-3.10322717942605e+00,-2.75544094648300e+01
8.33738766940664e+03	-3.43885170296553e+00,-2.81470699890001e+01
8.53159037603178e+03	-3.78965458215652e+00,-2.87498771675910e+01
8.73031664480325e+03	-4.15629043341081e+00,-2.93628204611163e+01
8.93367184301919e+03	-4.53943978220041e+00,-2.99858721867666e+01
9.14176379229742e+03	-4.93980872026324e+00,-3.06189864496248e+01
9.35470282574389e+03	-5.35812981186976e+00,-3.12620974939828e+01
9.57260184645269e+03	-5.79516320414191e+00,-3.19151179294404e+01
9.79557638736884e+03	-6.25169770490799e+00,-3.25779369130849e+01
1.00237446725454e+04	-6.72854792206976e+00,-3.32504191419148e+01
1.02572276798272e+04	-7.22656160596051e+00,-3.39324012564835e+01
1.04961492049954e+04	-7.74661181712694e+00,-3.46236916840800e+01
1.07406359274050e+04	-8.28960343158522e+00,-3.53240670373736e+01
1.09908174771524e+04	-8.85647316136548e+00,-3.60332700133135e+01
1.12468265038069e+04	-9.44818633210358e+00,-3.67510075027743e+01
1.15087987467430e+04	-1.00657403599667e+01,-3.74769474411972e+01
1.17768731071117e+04	-1.07101640767316e+01,-3.82107162329305e+01
1.20511917214871e+04	-1.13825169300063e+01,-3.89518959320383e+01
1.23319000372295e+04	-1.20838907331414e+01,-3.97000210392466e+01
1.26191468896038e+04	-1.28154082793270e+01,-4.04545754342138e+01
1.29130845806930e+04	-1.35782205137553e+01,-4.12149890342989e+01
1.32138689601518e+04	-1.43735138148458e+01,-4.19806340457432e+01
1.35216595078395e+04	-1.52025022154096e+01,-4.27508215699653e+01
1.38366194183786e+04	-1.60664239343539e+01,-4.35247974615526e+01
1.41589156876826e+04	-1.69665570765308e+01,-4.43017387765964e+01
1.44887192014997e+04	-1.79041937780469e+01,-4.50807488707824e+01
1.48262048260182e+04	-1.88806640716875e+01,-4.58608541505448e+01
1.51715515005835e+04	-1.98973091652251e+01,-4.66409980528445e+01
1.55249423325737e+04	-2.09554986310652e+01,-4.74200376283475e+01
1.58865646944855e+04	-2.20566272078393e+01,-4.81967391513074e+01
1.62566103232818e+04	-2.32020929738851e+01,-4.89697708013865e+01
1.66352754220533e+04	-2.43933216466603e+01,-4.97377010126744e+01
1.70227607640474e+04	-2.56317351770809e+01,-5.04989894036412e+01
1.74192717991215e+04	-2.69187758344237e+01,-5.12519858140033e+01
1.78250187626747e+04	-2.82558778974222e+01,-5.19949210512704e+01
1.82402167871180e+04	-2.96444765889485e+01,-5.27259037877240e+01
1.86650860159396e+04	-3.10859980777577e+01,-5.34429143189210e+01
1.90998517204285e+04	-3.25818563031033e+01,-5.41437997493848e+01
1.95447444191160e+04	-3.41334336419354e+01,-5.48262654339169e+01
1.99999999999998e+04	-3.57421043507696e+01,-5.54878772126989e+01
2.04658598456149e+04	-3.74091920167343e+01,-5.61260476651434e+01
2.09425709610178e+04	-3.91359771331437e+01,-5.67380348770625e+01
2.14303861047519e+04	-4.09236832525625e+01,-5.73209363090148e+01
2.19295639228635e+04	-4.27734827874344e+01,-5.78716890462507e+01
2.24403690860391e+04	-4.46864696373174e+01,-5.83870608930492e+01
2.29630724299374e+04	-4.66636380020343e+01,-5.88636431654700e+01
2.34979510987904e+04	-4.87058970478905e+01,-5.92978560500390e+01
2.40452886923480e+04	-5.08140358865415e+01,-5.96859388880556e+01
2.46053754162474e+04	-5.29887358335723e+01,-6.00239572819290e+01
2.51785082358831e+04	-5.52305055721868e+01,-6.03077842057338e+01
2.57649910338624e+04	-5.75397176102119e+01,-6.05331179998243e+01
2.63651347711279e+04	-5.99165679502038e+01,-6.06954746936874e+01
2.69792576518328e+04	-6.23610698253723e+01,-6.07901939223223e+01
2.76076852920574e+04	-6.48729960472298e+01,-6.08124264841125e+01
2.82507508924548e+04	-6.74519426309035e+01,-6.07571707402267e+01
2.89087954149183e+04	-7.00971991190266e+01,-6.06192350732886e+01
2.95821677633639e+04	-7.28078337250601e+01,-6.03932868887792e+01
3.02712249687239e+04	-7.55826068366690e+01,-6.00738354665307e+01
3.09763323782493e+04	-7.84199585713530e+01,-5.96552460154526e+01
3.16978638492219e+04	-8.13180380000800e+01,-5.91317735701707e+01
3.24362019471783e+04	-8.42745746408683e+01,-5.84975333314874e+01
3.31917381487509e+04	-8.72870155057462e+01,-5.77465841175428e+01
3.39648730492345e+04	-9.03523361884394e+01,-5.68728774412569e+01
3.47560165749872e+04	-9.34671257046150e+01,-5.58703237089508e+01
3.55655882007781e+04	-9.66275752147544e+01,-5.47328204237787e+01
3.63940171721993e+04	-9.98293327409229e+01,-5.34542256134204e+01
3.72417427332570e+04	-1.03067690532633e+02,-5.20284742460992e+01
3.81092143592646e+04	-1.06337355839873e+02,-5.04495202715357e+01
3.89968919951605e+04	-1.09632619186214e+02,-4.87114484604093e+01
3.99052462993772e+04	-1.12947173205786e+02,-4.68084407770720e+01
4.08347588933902e+04	-1.16274294771109e+02,-4.47348962006115e+01
4.17859226170804e+04	-1.19606648111547e+02,-4.24853937900433e+01
4.27592417900442e+04	-1.22936378655772e+02,-4.00547778458444e+01
4.37552324789906e+04	-1.26255143256955e+02,-3.74382160847332e+01
4.47744227713663e+04	-1.29554066905678e+02,-3.46312282151145e+01
4.58173530553550e+04	-1.32823754673934e+02,-3.16297369959780e+01
4.68845763063979e+04	-1.36054270444910e+02,-2.84301060589192e+01
4.79766583803893e+04	-1.39235208443480e+02,-2.50292124529277e+01
4.90941783137001e+04	-1.42355713511973e+02,-2.14244967970734e+01
5.02377286301911e+04	-1.45404565461142e+02,-1.76140339445442e+01
5.14079156553767e+04	-1.48370021555650e+02,-1.35965145829686e+01
5.26053598379071e+04	-1.51240033284003e+02,-9.37135919867446e+00
5.38306960785377e+04	-1.54002249447624e+02,-4.93874915493691e+00
5.50845740667627e+04	-1.56643945110207e+02,-2.99632157825865e-01
5.63676586252885e+04	-1.59152341161414e+02,4.54415057362098e+00
5.76806300625315e+04	-1.61514472287828e+02,9.58989204429738e+00
5.90241845333271e+04	-1.63717244301990e+02,1.48339875598067e+01
6.03990344080397e+04	-1.65747476070249e+02,2.02719126719202e+01
6.18059086502711e+04	-1.67592276299384e+02,2.58981191973729e+01
6.32455532033669e+04	-1.69238670266006e+02,3.17061454405420e+01
6.47187313859249e+04	-1.70673934000942e+02,3.76885355999112e+01
6.62262242965175e+04	-1.71885807575127e+02,4.38368126570141e+01
6.77688312278397e+04	-1.72862205265210e+02,5.01415740827479e+01
6.93473700905056e+04	-1.73591695788519e+02,5.65924172361496e+01
7.09626778467143e+04	-1.74063293310123e+02,6.31780286833958e+01
7.26156109540195e+04	-1.74266666109348e+02,6.98861887095913e+01
7.43070458194337e+04	-1.74192373301392e+02,7.67037904105111e+01
7.60378792641114e+04	-1.73831438797459e+02,8.36169697752353e+01
7.78090289988552e+04	-1.73176187174705e+02,9.06110477756632e+01
7.96214341106986e+04	-1.72219757200225e+02,9.76706861506757e+01
8.14760555608216e+04	-1.70956063570649e+02,1.04779959638766e+02
8.33738766940661e+04	-1.69380392837562e+02,1.11922378826735e+02
8.53159037603176e+04	-1.67489017192165e+02,1.19081024616922e+02
8.73031664480322e+04	-1.65279480164591e+02,1.26238619546401e+02
8.93367184301916e+04	-1.62750562560248e+02,1.33377634342982e+02
9.14176379229740e+04	-1.59902225790644e+02,1.40480391480568e+02
9.35470282574386e+04	-1.56735532084061e+02,1.47529162748801e+02
9.57260184645266e+04	-1.53253008318246e+02,1.54506271894754e+02
9.79557638736881e+04	-1.49458261789555e+02,1.61394199859078e+02
1.00237446725453e+05	-1.45356342707254e+02,1.68175699085176e+02
1.02572276798272e+05	-1.40953569600804e+02,1.74833902229772e+02
1.04961492049953e+05	-1.36256804749923e+02,1.81352356574521e+02
1.07406359274049e+05	-1.31274908713357e+02,1.87715243166469e+02
1.09908174771524e+05	-1.26017256121883e+02,1.93907347583982e+02
1.12468265038068e+05	-1.20494610725116e+02,1.99914241081615e+02
1.15087987467430e+05	-1.14718155660627e+02,2.05722233278633e+02
1.17768731071116e+05	-1.08700025669782e+02,2.11318512140866e+02
1.20511917214870e+05	-1.02454007691513e+02,2.16691384322733e+02
1.23319000372295e+05	-9.59939493275336e+01,2.21830056292330e+02
1.26191468896037e+05	-8.93332034308898e+01,2.26724495195925e+02
1.29130845806930e+05	-8.24877036271776e+01,2.31366235069862e+02
1.32138689601518e+05	-7.54725179203543e+01,2.35747609429088e+02
1.35216595078395e+05	-6.83039545710236e+01,2.39862341292713e+02
1.38366194183786e+05	-6.09967704017510e+01,2.43704724193448e+02
1.41589156876826e+05	-5.35676097863152e+01,2.47270715248809e+02
1.44887192014996e+05	-4.60330675190336e+01,2.50557401243180e+02
1.48262048260182e+05	-3.84082746356645e+01,2.53562430809404e+02
1.51715515005835e+05	-3.07104989457658e+01,2.56285416175860e+02
1.55249423325736e+05	-2.29540433521572e+01,2.58725880460387e+02
1.58865646944854e+05	-1.51545435178862e+01,2.60884986517762e+02
1.62566103232818e+05	-7.32873677181165e+00,2.62765595702887e+02
1.66352754220532e+05	5.11237476353321e-01,2.64369443937720e+02
1.70227607640473e+05	8.34911471626259e+00,2.65701393966799e+02
1.74192717991214e+05	1.61726861360008e+01,2.66765285575497e+02
1.78250187626747e+05	2.39677152071969e+01,2.67567098993291e+02
1.82402167871180e+05	3.17225359586873e+01,2.68112382083543e+02
1.86650860159396e+05	3.94246512605133e+01,2.68408161403048e+02
1.90998517204285e+05	4.70635124730419e+01,2.68461214600298e+02
1.95447444191160e+05	5.46280066905969e+01,2.68279609619950e+02
2.00000000000000e+05	6.21090027146944e+01,2.67870970218251e+02
