Freq.	V(n002)
1.86208713666287e-01	(6.55050807367840e+01dB,2.24010096443137e+00°)
1.90546071796325e-01	(6.55100948808798e+01dB,2.28291172566949e+00°)
1.94984459975804e-01	(6.55153099592089e+01dB,2.32611649415658e+00°)
1.99526231496888e-01	(6.55207324248887e+01dB,2.36968868924114e+00°)
2.04173794466953e-01	(6.55263687964423e+01dB,2.41359933258043e+00°)
2.08929613085404e-01	(6.55322256444553e+01dB,2.45781694090676e+00°)
2.13796208950223e-01	(6.55383095768018e+01dB,2.50230742050065e+00°)
2.18776162394955e-01	(6.55446272223370e+01dB,2.54703396149800e+00°)
2.23872113856834e-01	(6.55511852130452e+01dB,2.59195693486316e+00°)
2.29086765276777e-01	(6.55579901645982e+01dB,2.63703379172268e+00°)
2.34422881531992e-01	(6.55650486551832e+01dB,2.68221896618311e+00°)
2.39883291901949e-01	(6.55723672027014e+01dB,2.72746378257204e+00°)
2.45470891568503e-01	(6.55799522401548e+01dB,2.77271636807066e+00°)
2.51188643150958e-01	(6.55878100893381e+01dB,2.81792157214052e+00°)
2.57039578276886e-01	(6.55959469327711e+01dB,2.86302089336859e+00°)
2.63026799189538e-01	(6.56043687837809e+01dB,2.90795241501836e+00°)
2.69153480392691e-01	(6.56130814549928e+01dB,2.95265075107502e+00°)
2.75422870333816e-01	(6.56220905250205e+01dB,2.99704700365142e+00°)
2.81838293126445e-01	(6.56314013035571e+01dB,3.04106873250370e+00°)
2.88403150312660e-01	(6.56410187949496e+01dB,3.08463993991072e+00°)
2.95120922666638e-01	(6.56509476603163e+01dB,3.12768107001759e+00°)
3.01995172040201e-01	(6.56611921783311e+01dB,3.17010902570678e+00°)
3.09029543251359e-01	(6.56717562048276e+01dB,3.21183720356025e+00°)
3.16227766016837e-01	(6.56826431315234e+01dB,3.25277554860078e+00°)
3.23593656929628e-01	(6.56938558438621e+01dB,3.29283062983527e+00°)
3.31131121482591e-01	(6.57053966784053e+01dB,3.33190573840728e+00°)
3.38844156139202e-01	(6.57172673799184e+01dB,3.36990100837297e+00°)
3.46736850452531e-01	(6.57294690585167e+01dB,3.40671356248384e+00°)
3.54813389233575e-01	(6.57420021470758e+01dB,3.44223768236537e+00°)
3.63078054770101e-01	(6.57548663594598e+01dB,3.47636500529683e+00°)
3.71535229097172e-01	(6.57680606497252e+01dB,3.50898474649457e+00°)
3.80189396320561e-01	(6.57815831727487e+01dB,3.53998394831970e+00°)
3.89045144994280e-01	(6.57954312468280e+01dB,3.56924775582964e+00°)
3.98107170553497e-01	(6.58096013184180e+01dB,3.59665971821051e+00°)
4.07380277804112e-01	(6.58240889296347e+01dB,3.62210211604334e+00°)
4.16869383470335e-01	(6.58388886889744e+01dB,3.64545631331024e+00°)
4.26579518801592e-01	(6.58539942454067e+01dB,3.66660313138077e+00°)
4.36515832240165e-01	(6.58693982667187e+01dB,3.68542324700028e+00°)
4.46683592150962e-01	(6.58850924220484e+01dB,3.70179760758848e+00°)
4.57088189614874e-01	(6.59010673692883e+01dB,3.71560786553587e+00°)
4.67735141287197e-01	(6.59173127477229e+01dB,3.72673682643822e+00°)
4.78630092322637e-01	(6.59338171759641e+01dB,3.73506890908398e+00°)
4.89778819368445e-01	(6.59505682558465e+01dB,3.74049061436240e+00°)
5.01187233627271e-01	(6.59675525821598e+01dB,3.74289099837596e+00°)
5.12861383991364e-01	(6.59847557586289e+01dB,3.74216214683741e+00°)
5.24807460249772e-01	(6.60021624200759e+01dB,3.73819964639020e+00°)
5.37031796370252e-01	(6.60197562610635e+01dB,3.73090304878257e+00°)
5.49540873857623e-01	(6.60375200706327e+01dB,3.72017632330066e+00°)
5.62341325190348e-01	(6.60554357733433e+01dB,3.70592829337221e+00°)
5.75439937337156e-01	(6.60734844763061e+01dB,3.68807305330462e+00°)
5.88843655355588e-01	(6.60916465219025e+01dB,3.66653036021253e+00°)
6.02559586074356e-01	(6.61099015459452e+01dB,3.64122599774140e+00°)
6.16595001861481e-01	(6.61282285409699e+01dB,3.61209210760704e+00°)
6.30957344480192e-01	(6.61466059237195e+01dB,3.57906748486164e+00°)
6.45654229034654e-01	(6.61650116069165e+01dB,3.54209783443537e+00°)
6.60693448007594e-01	(6.61834230742210e+01dB,3.50113598592325e+00°)
6.76082975391980e-01	(6.62018174580304e+01dB,3.45614206384708e+00°)
6.91830970918935e-01	(6.62201716191212e+01dB,3.40708361218732e+00°)
7.07945784384136e-01	(6.62384622277146e+01dB,3.35393567155199e+00°)
7.24435960074988e-01	(6.62566658450160e+01dB,3.29668080829075e+00°)
7.41310241300915e-01	(6.62747590045074e+01dB,3.23530909549553e+00°)
7.58577575029182e-01	(6.62927182922703e+01dB,3.16981804612463e+00°)
7.76247116628690e-01	(6.63105204255851e+01dB,3.10021249977328e+00°)
7.94328234724279e-01	(6.63281423290453e+01dB,3.02650446393742e+00°)
8.12830516164097e-01	(6.63455612076000e+01dB,2.94871291254334e+00°)
8.31763771102669e-01	(6.63627546156254e+01dB,2.86686354383561e+00°)
8.51138038202374e-01	(6.63797005218212e+01dB,2.78098850122240e+00°)
8.70963589956078e-01	(6.63963773691779e+01dB,2.69112605996087e+00°)
8.91250938133743e-01	(6.64127641293796e+01dB,2.59732028402829e+00°)
9.12010839355907e-01	(6.64288403516831e+01dB,2.49962065685098e+00°)
9.33254300796988e-01	(6.64445862056475e+01dB,2.39808169031510e+00°)
9.54992586021433e-01	(6.64599825175505e+01dB,2.29276251666853e+00°)
9.77237220955808e-01	(6.64750108003630e+01dB,2.18372646764472e+00°)
9.99999999999997e-01	(6.64896532771875e+01dB,2.07104064534160e+00°)
1.02329299228075e+00	(6.65038928982096e+01dB,1.95477548936239e+00°)
1.04712854805090e+00	(6.65177133511839e+01dB,1.83500434469310e+00°)
1.07151930523760e+00	(6.65310990655581e+01dB,1.71180303440767e+00°)
1.09647819614318e+00	(6.65440352105875e+01dB,1.58524944119136e+00°)
1.12201845430196e+00	(6.65565076875160e+01dB,1.45542310159950e+00°)
1.14815362149688e+00	(6.65685031163357e+01dB,1.32240481615052e+00°)
1.17489755493953e+00	(6.65800088172778e+01dB,1.18627627903740e+00°)
1.20226443461741e+00	(6.65910127876066e+01dB,1.04711972946274e+00°)
1.23026877081238e+00	(6.66015036740411e+01dB,9.05017627936222e-01°)
1.25892541179416e+00	(6.66114707413447e+01dB,7.60052358754102e-01°)
1.28824955169313e+00	(6.66209038373965e+01dB,6.12305961381260e-01°)
1.31825673855640e+00	(6.66297933553730e+01dB,4.61859891438019e-01°)
1.34896288259165e+00	(6.66381301934672e+01dB,3.08794812681729e-01°)
1.38038426460288e+00	(6.66459057126111e+01dB,1.53190420725919e-01°)
1.41253754462275e+00	(6.66531116927076e+01dB,-4.87470115298703e-03°)
1.44543977074592e+00	(6.66597402877232e+01dB,-1.65323193504727e-01°)
1.47910838816820e+00	(6.66657839803295e+01dB,-3.28079000429139e-01°)
1.51356124843620e+00	(6.66712355362695e+01dB,-4.93067416979886e-01°)
1.54881661891248e+00	(6.66760879590142e+01dB,-6.60215105257082e-01°)
1.58489319246111e+00	(6.66803344450853e+01dB,-8.29450080026610e-01°)
1.62181009735892e+00	(6.66839683403224e+01dB,-1.00070166409938e+00°)
1.65958690743755e+00	(6.66869830976721e+01dB,-1.17390041584781e+00°)
1.69824365246174e+00	(6.66893722365038e+01dB,-1.34897802825070e+00°)
1.73780082874937e+00	(6.66911293040545e+01dB,-1.52586720248190e+00°)
1.77827941003892e+00	(6.66922478391382e+01dB,-1.70450149634604e+00°)
1.81970085860998e+00	(6.66927213383605e+01dB,-1.88481514915917e+00°)
1.86208713666286e+00	(6.66925432252867e+01dB,-2.06674288564504e+00°)
1.90546071796324e+00	(6.66917068224434e+01dB,-2.25021969841100e+00°)
1.94984459975804e+00	(6.66902053266980e+01dB,-2.43518061264642e+00°)
1.99526231496887e+00	(6.66880317880457e+01dB,-2.62156043373831e+00°)
2.04173794466952e+00	(6.66851790919781e+01dB,-2.80929347945804e+00°)
2.08929613085403e+00	(6.66816399456350e+01dB,-2.99831329877332e+00°)
2.13796208950222e+00	(6.66774068678924e+01dB,-3.18855237903093e+00°)
2.18776162394954e+00	(6.66724721834996e+01dB,-3.37994184316938e+00°)
2.23872113856833e+00	(6.66668280213878e+01dB,-3.57241113882467e+00°)
2.29086765276776e+00	(6.66604663173346e+01dB,-3.76588772173452e+00°)
2.34422881531991e+00	(6.66533788209251e+01dB,-3.96029673418952e+00°)
2.39883291901948e+00	(6.66455571071193e+01dB,-4.15556068215389e+00°)
2.45470891568502e+00	(6.66369925923109e+01dB,-4.35159911172896e+00°)
2.51188643150957e+00	(6.66276765550456e+01dB,-4.54832828782058e+00°)
2.57039578276885e+00	(6.66176001614373e+01dB,-4.74566087712407e+00°)
2.63026799189537e+00	(6.66067544952900e+01dB,-4.94350563750315e+00°)
2.69153480392690e+00	(6.65951305929415e+01dB,-5.14176711611394e+00°)
2.75422870333815e+00	(6.65827194829014e+01dB,-5.34034535924524e+00°)
2.81838293126444e+00	(6.65695122301157e+01dB,-5.53913563530379e+00°)
2.88403150312659e+00	(6.65554999850058e+01dB,-5.73802817504559e+00°)
2.95120922666637e+00	(6.65406740370196e+01dB,-5.93690793023827e+00°)
3.01995172040200e+00	(6.65250258726873e+01dB,-6.13565435421120e+00°)
3.09029543251358e+00	(6.65085472380745e+01dB,-6.33414120738504e+00°)
3.16227766016836e+00	(6.64912302053893e+01dB,-6.53223639000469e+00°)
3.23593656929627e+00	(6.64730672435655e+01dB,-6.72980180509991e+00°)
3.31131121482590e+00	(6.64540512926011e+01dB,-6.92669325496519e+00°)
3.38844156139201e+00	(6.64341758412866e+01dB,-7.12276037318173e+00°)
3.46736850452530e+00	(6.64134350080834e+01dB,-7.31784659609916e+00°)
3.54813389233574e+00	(6.63918236246840e+01dB,-7.51178917559615e+00°)
3.63078054770100e+00	(6.63693373218628e+01dB,-7.70441923628053e+00°)
3.71535229097171e+00	(6.63459726170658e+01dB,-7.89556187892192e+00°)
3.80189396320559e+00	(6.63217270033259e+01dB,-8.08503633368423e+00°)
3.89045144994279e+00	(6.62965990387810e+01dB,-8.27265616384111e+00°)
3.98107170553495e+00	(6.62705884362504e+01dB,-8.45822952275200e+00°)
4.07380277804111e+00	(6.62436961521334e+01dB,-8.64155946497329e+00°)
4.16869383470333e+00	(6.62159244739278e+01dB,-8.82244431290812e+00°)
4.26579518801590e+00	(6.61872771056029e+01dB,-9.00067807972344e+00°)
4.36515832240164e+00	(6.61577592499938e+01dB,-9.17605094838386e+00°)
4.46683592150961e+00	(6.61273776874290e+01dB,-9.34834980700781e+00°)
4.57088189614873e+00	(6.60961408496990e+01dB,-9.51735883929795e+00°)
4.67735141287196e+00	(6.60640588885421e+01dB,-9.68286016905180e+00°)
4.78630092322636e+00	(6.60311437377267e+01dB,-9.84463455614693e+00°)
4.89778819368444e+00	(6.59974091679280e+01dB,-1.00024621420684e+01°)
5.01187233627270e+00	(6.59628708335348e+01dB,-1.01561232413468e+01°)
5.12861383991362e+00	(6.59275463105188e+01dB,-1.03053991743794e+01°)
5.24807460249770e+00	(6.58914551247172e+01dB,-1.04500731384504e+01°)
5.37031796370250e+00	(6.58546187696892e+01dB,-1.05899311102077e+01°)
5.49540873857622e+00	(6.58170607135904e+01dB,-1.07247627749351e+01°)
5.62341325190346e+00	(6.57788063944443e+01dB,-1.08543624755213e+01°)
5.75439937337154e+00	(6.57398832033499e+01dB,-1.09785301744273e+01°)
5.88843655355586e+00	(6.57003204552728e+01dB,-1.10970724215402e+01°)
6.02559586074354e+00	(6.56601493471273e+01dB,-1.12098033197486e+01°)
6.16595001861479e+00	(6.56194029030350e+01dB,-1.13165454805093e+01°)
6.30957344480190e+00	(6.55781159067511e+01dB,-1.14171309611172e+01°)
6.45654229034652e+00	(6.55363248213707e+01dB,-1.15114021751835e+01°)
6.60693448007592e+00	(6.54940676965710e+01dB,-1.15992127677531e+01°)
6.76082975391978e+00	(6.54513840638615e+01dB,-1.16804284478008e+01°)
6.91830970918933e+00	(6.54083148202911e+01dB,-1.17549277686771e+01°)
7.07945784384134e+00	(6.53649021013516e+01dB,-1.18226028496303e+01°)
7.24435960074986e+00	(6.53211891439076e+01dB,-1.18833600314018e+01°)
7.41310241300913e+00	(6.52772201400343e+01dB,-1.19371204583626e+01°)
7.58577575029179e+00	(6.52330400828520e+01dB,-1.19838205817382e+01°)
7.76247116628687e+00	(6.51886946055163e+01dB,-1.20234125786636e+01°)
7.94328234724277e+00	(6.51442298145746e+01dB,-1.20558646821735e+01°)
8.12830516164094e+00	(6.50996921190384e+01dB,-1.20811614190659e+01°)
8.31763771102666e+00	(6.50551280565190e+01dB,-1.20993037527065e+01°)
8.51138038202371e+00	(6.50105841178420e+01dB,-1.21103091292677e+01°)
8.70963589956075e+00	(6.49661065715779e+01dB,-1.21142114269342e+01°)
8.91250938133740e+00	(6.49217412899118e+01dB,-1.21110608084804e+01°)
9.12010839355904e+00	(6.48775335772468e+01dB,-1.21009234784361e+01°)
9.33254300796985e+00	(6.48335280029612e+01dB,-1.20838813480654e+01°)
9.54992586021430e+00	(6.47897682395724e+01dB,-1.20600316105883e+01°)
9.77237220955805e+00	(6.47462969076137e+01dB,-1.20294862319486e+01°)
9.99999999999994e+00	(6.47031554283395e+01dB,-1.19923713616146e+01°)
1.02329299228075e+01	(6.46603838853504e+01dB,-1.19488266699485e+01°)
1.04712854805089e+01	(6.46180208960451e+01dB,-1.18990046180943e+01°)
1.07151930523760e+01	(6.45761034937554e+01dB,-1.18430696681707e+01°)
1.09647819614318e+01	(6.45346670212302e+01dB,-1.17811974409428e+01°)
1.12201845430196e+01	(6.44937450360297e+01dB,-1.17135738290781e+01°)
1.14815362149688e+01	(6.44533692282407e+01dB,-1.16403940740440e+01°)
1.17489755493952e+01	(6.44135693508074e+01dB,-1.15618618153334e+01°)
1.20226443461741e+01	(6.43743731625693e+01dB,-1.14781881194060e+01°)
1.23026877081237e+01	(6.43358063840612e+01dB,-1.13895904975445e+01°)
1.25892541179416e+01	(6.42978926659221e+01dB,-1.12962919200784e+01°)
1.28824955169313e+01	(6.42606535696416e+01dB,-1.11985198341480e+01°)
1.31825673855640e+01	(6.42241085603501e+01dB,-1.10965051936416e+01°)
1.34896288259164e+01	(6.41882750111028e+01dB,-1.09904815063824e+01°)
1.38038426460288e+01	(6.41531682181896e+01dB,-1.08806839065864e+01°)
1.41253754462274e+01	(6.41188014267667e+01dB,-1.07673482569042e+01°)
1.44543977074592e+01	(6.40851858661587e+01dB,-1.06507102861754e+01°)
1.47910838816820e+01	(6.40523307940534e+01dB,-1.05310047668914e+01°)
1.51356124843620e+01	(6.40202435487993e+01dB,-1.04084647363425e+01°)
1.54881661891247e+01	(6.39889296089857e+01dB,-1.02833207647186e+01°)
1.58489319246110e+01	(6.39583926594618e+01dB,-1.01558002727186e+01°)
1.62181009735892e+01	(6.39286346629437e+01dB,-1.00261269004670e+01°)
1.65958690743755e+01	(6.38996559363751e+01dB,-9.89451992925643e+00°)
1.69824365246173e+01	(6.38714552312082e+01dB,-9.76119375676214e+00°)
1.73780082874936e+01	(6.38440298167988e+01dB,-9.62635742588310e+00°)
1.77827941003891e+01	(6.38173755661424e+01dB,-9.49021420698495e+00°)
1.81970085860997e+01	(6.37914870432210e+01dB,-9.35296123295443e+00°)
1.86208713666285e+01	(6.37663575912412e+01dB,-9.21478918534735e+00°)
1.90546071796323e+01	(6.37419794211457e+01dB,-9.07588203089083e+00°)
1.94984459975803e+01	(6.37183436997704e+01dB,-8.93641680578318e+00°)
1.99526231496887e+01	(6.36954406371171e+01dB,-8.79656344615893e+00°)
2.04173794466952e+01	(6.36732595722359e+01dB,-8.65648466212942e+00°)
2.08929613085402e+01	(6.36517890572811e+01dB,-8.51633585300143e+00°)
2.13796208950222e+01	(6.36310169393528e+01dB,-8.37626506110627e+00°)
2.18776162394954e+01	(6.36109304397804e+01dB,-8.23641296124643e+00°)
2.23872113856832e+01	(6.35915162305780e+01dB,-8.09691288346335e+00°)
2.29086765276776e+01	(6.35727605078163e+01dB,-7.95789086578404e+00°)
2.34422881531990e+01	(6.35546490617376e+01dB,-7.81946573460958e+00°)
2.39883291901947e+01	(6.35371673434564e+01dB,-7.68174920980354e+00°)
2.45470891568501e+01	(6.35203005281422e+01dB,-7.54484603174616e+00°)
2.51188643150956e+01	(6.35040335746183e+01dB,-7.40885410797410e+00°)
2.57039578276884e+01	(6.34883512813384e+01dB,-7.27386467674193e+00°)
2.63026799189536e+01	(6.34732383387347e+01dB,-7.13996248505942e+00°)
2.69153480392690e+01	(6.34586793779685e+01dB,-7.00722597925991e+00°)
2.75422870333815e+01	(6.34446590161216e+01dB,-6.87572750555281e+00°)
2.81838293126443e+01	(6.34311618979048e+01dB,-6.74553351896942e+00°)
2.88403150312658e+01	(6.34181727339635e+01dB,-6.61670479848826e+00°)
2.95120922666636e+01	(6.34056763358902e+01dB,-6.48929666698393e+00°)
3.01995172040199e+01	(6.33936576480510e+01dB,-6.36335921410304e+00°)
3.09029543251357e+01	(6.33821017763580e+01dB,-6.23893752092188e+00°)
3.16227766016836e+01	(6.33709940141153e+01dB,-6.11607188482705e+00°)
3.23593656929626e+01	(6.33603198650830e+01dB,-5.99479804375366e+00°)
3.31131121482588e+01	(6.33500650638972e+01dB,-5.87514739843296e+00°)
3.38844156139200e+01	(6.33402155939953e+01dB,-5.75714723198113e+00°)
3.46736850452529e+01	(6.33307577031910e+01dB,-5.64082092587172e+00°)
3.54813389233573e+01	(6.33216779170459e+01dB,-5.52618817170958e+00°)
3.63078054770098e+01	(6.33129630501818e+01dB,-5.41326517810764e+00°)
3.71535229097170e+01	(6.33046002156762e+01dB,-5.30206487226564e+00°)
3.80189396320558e+01	(6.32965768326766e+01dB,-5.19259709569317e+00°)
3.89045144994277e+01	(6.32888806323741e+01dB,-5.08486879394219e+00°)
3.98107170553494e+01	(6.32814996624593e+01dB,-4.97888419986982e+00°)
4.07380277804109e+01	(6.32744222901913e+01dB,-4.87464501043223e+00°)
4.16869383470332e+01	(6.32676372041942e+01dB,-4.77215055666410e+00°)
4.26579518801589e+01	(6.32611334151000e+01dB,-4.67139796694460e+00°)
4.36515832240162e+01	(6.32549002551422e+01dB,-4.57238232339017e+00°)
4.46683592150959e+01	(6.32489273768045e+01dB,-4.47509681145098e+00°)
4.57088189614871e+01	(6.32432047506207e+01dB,-4.37953286266574e+00°)
4.67735141287194e+01	(6.32377226622157e+01dB,-4.28568029072953e+00°)
4.78630092322634e+01	(6.32324717086745e+01dB,-4.19352742096570e+00°)
4.89778819368442e+01	(6.32274427943155e+01dB,-4.10306121324133e+00°)
5.01187233627268e+01	(6.32226271259450e+01dB,-4.01426737858083e+00°)
5.12861383991361e+01	(6.32180162076591e+01dB,-3.92713048957312e+00°)
5.24807460249768e+01	(6.32136018352578e+01dB,-3.84163408474713e+00°)
5.37031796370248e+01	(6.32093760903289e+01dB,-3.75776076716248e+00°)
5.49540873857620e+01	(6.32053313340553e+01dB,-3.67549229729175e+00°)
5.62341325190344e+01	(6.32014602007968e+01dB,-3.59480968051952e+00°)
5.75439937337152e+01	(6.31977555914888e+01dB,-3.51569324941577e+00°)
5.88843655355584e+01	(6.31942106669012e+01dB,-3.43812274091795e+00°)
6.02559586074353e+01	(6.31908188407932e+01dB,-3.36207736877614e+00°)
6.16595001861477e+01	(6.31875737729995e+01dB,-3.28753589131531e+00°)
6.30957344480188e+01	(6.31844693624763e+01dB,-3.21447667484668e+00°)
6.45654229034650e+01	(6.31814997403368e+01dB,-3.14287775284717e+00°)
6.60693448007590e+01	(6.31786592628986e+01dB,-3.07271688115521e+00°)
6.76082975391976e+01	(6.31759425047658e+01dB,-3.00397158932759e+00°)
6.91830970918930e+01	(6.31733442519655e+01dB,-2.93661922843397e+00°)
7.07945784384132e+01	(6.31708594951556e+01dB,-2.87063701537728e+00°)
7.24435960074984e+01	(6.31684834229176e+01dB,-2.80600207399048e+00°)
7.41310241300911e+01	(6.31662114151496e+01dB,-2.74269147305636e+00°)
7.58577575029177e+01	(6.31640390365687e+01dB,-2.68068226140258e+00°)
7.76247116628685e+01	(6.31619620303344e+01dB,-2.61995150030508e+00°)
7.94328234724274e+01	(6.31599763117986e+01dB,-2.56047629324087e+00°)
8.12830516164092e+01	(6.31580779623919e+01dB,-2.50223381326296e+00°)
8.31763771102663e+01	(6.31562632236495e+01dB,-2.44520132804997e+00°)
8.51138038202369e+01	(6.31545284913814e+01dB,-2.38935622280954e+00°)
8.70963589956073e+01	(6.31528703099921e+01dB,-2.33467602114388e+00°)
8.91250938133737e+01	(6.31512853669503e+01dB,-2.28113840406265e+00°)
9.12010839355901e+01	(6.31497704874105e+01dB,-2.22872122714636e+00°)
9.33254300796983e+01	(6.31483226289890e+01dB,-2.17740253610548e+00°)
9.54992586021427e+01	(6.31469388766933e+01dB,-2.12716058073500e+00°)
9.77237220955802e+01	(6.31456164380042e+01dB,-2.07797382743285e+00°)
9.99999999999991e+01	(6.31443526381120e+01dB,-2.02982097035883e+00°)
1.02329299228074e+02	(6.31431449153027e+01dB,-1.98268094129633e+00°)
1.04712854805089e+02	(6.31419908164948e+01dB,-1.93653291835994e+00°)
1.07151930523760e+02	(6.31408879929244e+01dB,-1.89135633359012e+00°)
1.09647819614317e+02	(6.31398341959748e+01dB,-1.84713087949826e+00°)
1.12201845430195e+02	(6.31388272731502e+01dB,-1.80383651469119e+00°)
1.14815362149687e+02	(6.31378651641894e+01dB,-1.76145346859368e+00°)
1.17489755493952e+02	(6.31369458973170e+01dB,-1.71996224534145e+00°)
1.20226443461740e+02	(6.31360675856296e+01dB,-1.67934362692013e+00°)
1.23026877081237e+02	(6.31352284236122e+01dB,-1.63957867560512e+00°)
1.25892541179416e+02	(6.31344266837836e+01dB,-1.60064873574069e+00°)
1.28824955169312e+02	(6.31336607134665e+01dB,-1.56253543490982e+00°)
1.31825673855639e+02	(6.31329289316781e+01dB,-1.52522068457330e+00°)
1.34896288259164e+02	(6.31322298261396e+01dB,-1.48868668017659e+00°)
1.38038426460287e+02	(6.31315619503993e+01dB,-1.45291590077931e+00°)
1.41253754462274e+02	(6.31309239210676e+01dB,-1.41789110828542e+00°)
1.44543977074591e+02	(6.31303144151588e+01dB,-1.38359534624162e+00°)
1.47910838816819e+02	(6.31297321675376e+01dB,-1.35001193829939e+00°)
1.51356124843619e+02	(6.31291759684665e+01dB,-1.31712448632585e+00°)
1.54881661891247e+02	(6.31286446612502e+01dB,-1.28491686822830e+00°)
1.58489319246110e+02	(6.31281371399752e+01dB,-1.25337323549644e+00°)
1.62181009735891e+02	(6.31276523473392e+01dB,-1.22247801049266e+00°)
1.65958690743754e+02	(6.31271892725695e+01dB,-1.19221588352374e+00°)
1.69824365246173e+02	(6.31267469494254e+01dB,-1.16257180970352e+00°)
1.73780082874936e+02	(6.31263244542827e+01dB,-1.13353100563465e+00°)
1.77827941003890e+02	(6.31259209042965e+01dB,-1.10507894591832e+00°)
1.81970085860997e+02	(6.31255354556407e+01dB,-1.07720135953060e+00°)
1.86208713666285e+02	(6.31251673018198e+01dB,-1.04988422605842e+00°)
1.90546071796323e+02	(6.31248156720509e+01dB,-1.02311377181535e+00°)
1.94984459975803e+02	(6.31244798297144e+01dB,-9.96876465873703e-01°)
1.99526231496886e+02	(6.31241590708686e+01dB,-9.71159015983759e-01°)
2.04173794466951e+02	(6.31238527228273e+01dB,-9.45948364435890e-01°)
2.08929613085402e+02	(6.31235601427977e+01dB,-9.21231683844321e-01°)
2.13796208950221e+02	(6.31232807165761e+01dB,-8.96996372887832e-01°)
2.18776162394953e+02	(6.31230138572983e+01dB,-8.73230051981906e-01°)
2.23872113856832e+02	(6.31227590042446e+01dB,-8.49920558941935e-01°)
2.29086765276775e+02	(6.31225156216949e+01dB,-8.27055944585535e-01°)
2.34422881531990e+02	(6.31222831978330e+01dB,-8.04624468333949e-01°)
2.39883291901947e+02	(6.31220612436990e+01dB,-7.82614593793144e-01°)
2.45470891568500e+02	(6.31218492921857e+01dB,-7.61014984311234e-01°)
2.51188643150955e+02	(6.31216468970789e+01dB,-7.39814498546451e-01°)
2.57039578276884e+02	(6.31214536321395e+01dB,-7.19002186022976e-01°)
2.63026799189535e+02	(6.31212690902253e+01dB,-6.98567282700316e-01°)
2.69153480392689e+02	(6.31210928824505e+01dB,-6.78499206540801e-01°)
2.75422870333814e+02	(6.31209246373833e+01dB,-6.58787553098543e-01°)
2.81838293126442e+02	(6.31207640002766e+01dB,-6.39422091116105e-01°)
2.88403150312657e+02	(6.31206106323343e+01dB,-6.20392758138516e-01°)
2.95120922666635e+02	(6.31204642100088e+01dB,-6.01689656154357e-01°)
3.01995172040198e+02	(6.31203244243294e+01dB,-5.83303047252869e-01°)
3.09029543251356e+02	(6.31201909802608e+01dB,-5.65223349304813e-01°)
3.16227766016834e+02	(6.31200635960896e+01dB,-5.47441131676192e-01°)
3.23593656929625e+02	(6.31199420028381e+01dB,-5.29947110960359e-01°)
3.31131121482588e+02	(6.31198259437040e+01dB,-5.12732146746549e-01°)
3.38844156139199e+02	(6.31197151735254e+01dB,-4.95787237413343e-01°)
3.46736850452528e+02	(6.31196094582689e+01dB,-4.79103515948668e-01°)
3.54813389233572e+02	(6.31195085745413e+01dB,-4.62672245814312e-01°)
3.63078054770097e+02	(6.31194123091231e+01dB,-4.46484816826547e-01°)
3.71535229097168e+02	(6.31193204585221e+01dB,-4.30532741074703e-01°)
3.80189396320557e+02	(6.31192328285483e+01dB,-4.14807648876530e-01°)
3.89045144994276e+02	(6.31191492339071e+01dB,-3.99301284753686e-01°)
3.98107170553493e+02	(6.31190694978112e+01dB,-3.84005503447114e-01°)
